Gene,OG,Library,Expr,Tissue,Species
scaffold1743.g2,N2.HOG0000138,MJ1,1.37808811460704,rhopalia,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ4,0.646180361132951,rhopalia,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ8,0,manubrium,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ23,0,manubrium,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ26,0,manubrium,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ27,0,rhopalia,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ29,0,manubrium,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ32,1.03276241407538,manubrium,Aurelia
scaffold1743.g2,N2.HOG0000138,MJ35,0,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ1,24.1242840736829,rhopalia,Aurelia
scaffold529.g2,N2.HOG0000224,MJ4,23.5166088731419,rhopalia,Aurelia
scaffold529.g2,N2.HOG0000224,MJ8,12.5255909578036,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ23,19.6718925034522,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ26,21.5924192627145,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ27,19.9644249994164,rhopalia,Aurelia
scaffold529.g2,N2.HOG0000224,MJ29,21.6187806823479,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ32,10.9426399603717,manubrium,Aurelia
scaffold529.g2,N2.HOG0000224,MJ35,8.62426683575156,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ1,7.01114902103,rhopalia,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ4,7.23250339971728,rhopalia,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ8,1.50125653634469,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ23,0.505238047151981,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ26,1.20435487519307,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ27,0,rhopalia,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ29,0,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ32,0.262713650587788,manubrium,Aurelia
scaffold1046.g11,N2.HOG0000235,MJ35,1.75450653202929,manubrium,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ1,16.6211483622414,rhopalia,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ4,12.6572659028478,rhopalia,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ8,14.6793992535633,manubrium,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ23,8.46533381631955,manubrium,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ26,9.27381458930866,manubrium,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ27,14.1480913461906,rhopalia,Aurelia
scaffold2139.g1,N2.HOG0000249,MJ29,17.7036605668947,manubrium,Aurelia
