"","GO.ID","Term","Annotated","Significant","Expected","classic","KS"
"1","GO:0086091","regulation of heart rate by cardiac cond...",23,13,2.25,"3.0e-08","0.99916"
"2","GO:0006935","chemotaxis",548,89,53.5,"3.8e-08","0.99146"
"3","GO:0007186","G protein-coupled receptor signaling pat...",397,96,38.76,"4.5e-08","0.98646"
"4","GO:0035556","intracellular signal transduction",1582,207,154.46,"3.3e-07","0.84388"
"5","GO:0071320","cellular response to cAMP",31,14,3.03,"3.5e-07","0.88765"
"6","GO:0007187","G protein-coupled receptor signaling pat...",104,28,10.15,"4.1e-07","0.96925"
"7","GO:0086015","SA node cell action potential",14,9,1.37,"9.8e-07","0.98350"
"8","GO:0010752","regulation of cGMP-mediated signaling",11,8,1.07,"1.0e-06","0.99872"
"9","GO:0070588","calcium ion transmembrane transport",206,40,20.11,"1.3e-06","0.45743"
"10","GO:0071805","potassium ion transmembrane transport",92,26,8.98,"4.5e-06","0.86349"
"11","GO:0046058","cAMP metabolic process",16,9,1.56,"4.7e-06","0.90631"
"12","GO:0043267","negative regulation of potassium ion tra...",29,10,2.83,"4.7e-06","0.99247"
"13","GO:0010523","negative regulation of calcium ion trans...",10,7,0.98,"7.6e-06","0.99178"
"14","GO:0051480","regulation of cytosolic calcium ion conc...",146,32,14.25,"8.4e-06","0.73404"
"15","GO:0006661","phosphatidylinositol biosynthetic proces...",142,30,13.86,"8.5e-06","0.99986"
"16","GO:0007520","myoblast fusion",70,19,6.83,"9.5e-06","0.99290"
"17","GO:0001974","blood vessel remodeling",36,13,3.51,"1.8e-05","0.98891"
"18","GO:0060314","regulation of ryanodine-sensitive calciu...",15,8,1.46,"2.7e-05","0.94983"
"19","GO:0014057","positive regulation of acetylcholine sec...",15,8,1.46,"2.7e-05","0.99938"
"20","GO:0033137","negative regulation of peptidyl-serine p...",19,9,1.86,"2.9e-05","0.98046"
"21","GO:0060412","ventricular septum morphogenesis",33,12,3.22,"3.5e-05","0.98144"
"22","GO:1903779","regulation of cardiac conduction",24,10,2.34,"4.1e-05","0.92086"
"23","GO:0003203","endocardial cushion morphogenesis",26,12,2.54,"4.7e-05","0.94107"
"24","GO:1904562","phosphatidylinositol 5-phosphate metabol...",20,9,1.95,"4.8e-05","0.91032"
"25","GO:0006182","cGMP biosynthetic process",16,8,1.56,"5.0e-05","0.89102"
"26","GO:0046834","lipid phosphorylation",80,20,7.81,"5.9e-05","0.99405"
"27","GO:0048609","multicellular organismal reproductive pr...",1331,138,129.95,"6.7e-05","0.65798"
"28","GO:0019934","cGMP-mediated signaling",24,15,2.34,"7.9e-05","0.99547"
"29","GO:0007637","proboscis extension reflex",13,7,1.27,"8.3e-05","0.97706"
"30","GO:0006809","nitric oxide biosynthetic process",32,7,3.12,"9.0e-05","0.98629"
"31","GO:0045912","negative regulation of carbohydrate meta...",26,10,2.54,"9.2e-05","0.99755"
"32","GO:0071260","cellular response to mechanical stimulus",64,17,6.25,"9.3e-05","0.97460"
"33","GO:0006820","monoatomic anion transport",345,51,33.68,"9.8e-05","0.85921"
"34","GO:0015718","monocarboxylic acid transport",99,21,9.67,"0.00011","0.96720"
"35","GO:2001023","regulation of response to drug",105,25,10.25,"0.00012","0.84834"
"36","GO:0086012","membrane depolarization during cardiac m...",10,6,0.98,"0.00013","0.99964"
"37","GO:0034607","turning behavior involved in mating",10,6,0.98,"0.00013","0.80812"
"38","GO:0016059","deactivation of rhodopsin mediated signa...",18,8,1.76,"0.00014","0.99994"
"39","GO:0071286","cellular response to magnesium ion",14,7,1.37,"0.00015","0.98350"
"40","GO:1905276","regulation of epithelial tube formation",14,7,1.37,"0.00015","0.71725"
"41","GO:0046887","positive regulation of hormone secretion",106,18,10.35,"0.00017","0.97195"
"42","GO:0007602","phototransduction",58,20,5.66,"0.00018","0.78567"
"43","GO:0071880","adenylate cyclase-activating adrenergic ...",23,9,2.25,"0.00018","0.99121"
"44","GO:1900273","positive regulation of long-term synapti...",23,9,2.25,"0.00018","0.66464"
"45","GO:0035335","peptidyl-tyrosine dephosphorylation",56,15,5.47,"0.00022","0.94158"
"46","GO:0050908","detection of light stimulus involved in ...",19,8,1.86,"0.00023","0.92820"
"47","GO:0007204","positive regulation of cytosolic calcium...",145,29,14.16,"0.00023","0.54487"
"48","GO:0071345","cellular response to cytokine stimulus",389,49,37.98,"0.00024","0.99753"
