"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0060025","regulation of synaptic activity",26,12,1.38,"2.2e-09"
"2","GO:0035725","sodium ion transmembrane transport",104,23,5.52,"3.6e-09"
"3","GO:0009584","detection of visible light",88,16,4.67,"4.9e-09"
"4","GO:0007154","cell communication",3626,247,192.58,"6.3e-09"
"5","GO:0007186","G protein-coupled receptor signaling pat...",450,55,23.9,"9.3e-09"
"6","GO:0010496","intercellular transport",21,10,1.12,"3.4e-08"
"7","GO:0003333","amino acid transmembrane transport",75,22,3.98,"1.1e-07"
"8","GO:2001023","regulation of response to drug",120,18,6.37,"1.7e-07"
"9","GO:0006935","chemotaxis",570,58,30.27,"1.8e-07"
"10","GO:0009952","anterior/posterior pattern specification",306,34,16.25,"5.1e-07"
"11","GO:0086012","membrane depolarization during cardiac m...",12,7,0.64,"7.2e-07"
"12","GO:0042472","inner ear morphogenesis",84,14,4.46,"1.5e-06"
"13","GO:0019229","regulation of vasoconstriction",66,14,3.51,"2.7e-06"
"14","GO:0060081","membrane hyperpolarization",19,8,1.01,"2.7e-06"
"15","GO:0048846","axon extension involved in axon guidance",57,15,3.03,"2.8e-06"
"16","GO:0048609","multicellular organismal reproductive pr...",1421,91,75.47,"3.6e-06"
"17","GO:0007440","foregut morphogenesis",41,12,2.18,"4.2e-06"
"18","GO:0050966","detection of mechanical stimulus involve...",21,8,1.12,"6.6e-06"
"19","GO:0007214","gamma-aminobutyric acid signaling pathwa...",21,8,1.12,"6.6e-06"
"20","GO:0050909","sensory perception of taste",35,10,1.86,"9.0e-06"
"21","GO:0051481","negative regulation of cytosolic calcium...",36,10,1.91,"1.2e-05"
"22","GO:0086091","regulation of heart rate by cardiac cond...",23,8,1.22,"1.4e-05"
"23","GO:0098712","L-glutamate import across plasma membran...",12,6,0.64,"1.5e-05"
"24","GO:0031947","negative regulation of glucocorticoid bi...",12,6,0.64,"1.5e-05"
"25","GO:0036098","male germ-line stem cell population main...",30,9,1.59,"1.6e-05"
"26","GO:0015718","monocarboxylic acid transport",114,13,6.05,"1.7e-05"
"27","GO:0051674","localization of cell",789,69,41.9,"1.9e-05"
"28","GO:0023041","neuronal signal transduction",18,7,0.96,"2.2e-05"
"29","GO:0072375","medium-term memory",31,9,1.65,"2.2e-05"
"30","GO:0045214","sarcomere organization",77,14,4.09,"2.5e-05"
"31","GO:0071286","cellular response to magnesium ion",13,6,0.69,"2.7e-05"
"32","GO:0001964","startle response",29,8,1.54,"3.3e-05"
"33","GO:0001662","behavioral fear response",33,9,1.75,"3.8e-05"
"34","GO:0019228","neuronal action potential",37,10,1.97,"3.9e-05"
"35","GO:0007601","visual perception",116,18,6.16,"4.5e-05"
"36","GO:0007637","proboscis extension reflex",14,6,0.74,"4.5e-05"
"37","GO:0007268","chemical synaptic transmission",533,76,28.31,"4.7e-05"
"38","GO:0071805","potassium ion transmembrane transport",109,24,5.79,"4.8e-05"
"39","GO:0021682","nerve maturation",20,7,1.06,"4.8e-05"
"40","GO:1990573","potassium ion import across plasma membr...",15,6,0.8,"7.2e-05"
"41","GO:0040039","inductive cell migration",28,8,1.49,"7.2e-05"
"42","GO:0060079","excitatory postsynaptic potential",51,10,2.71,"9.4e-05"
"43","GO:0045646","regulation of erythrocyte differentiatio...",35,7,1.86,"0.00011"
"44","GO:0030513","positive regulation of BMP signaling pat...",38,9,2.02,"0.00013"
"45","GO:0050976","detection of mechanical stimulus involve...",23,7,1.22,"0.00013"
"46","GO:0010648","negative regulation of cell communicatio...",1066,64,56.62,"0.00014"
"47","GO:1904659","glucose transmembrane transport",67,8,3.56,"0.00015"
"48","GO:0002682","regulation of immune system process",799,46,42.43,"0.00015"
"49","GO:0030727","germarium-derived female germ-line cyst ...",39,9,2.07,"0.00016"
"50","GO:0007638","mechanosensory behavior",39,9,2.07,"0.00016"
"51","GO:0009266","response to temperature stimulus",335,28,17.79,"0.00017"
"52","GO:0002087","regulation of respiratory gaseous exchan...",24,7,1.27,"0.00018"
"53","GO:0016334","establishment or maintenance of polarity...",40,9,2.12,"0.00019"
"54","GO:0006836","neurotransmitter transport",248,30,13.17,"0.00020"
"55","GO:0007605","sensory perception of sound",157,21,8.34,"0.00020"
"56","GO:1904646","cellular response to amyloid-beta",32,8,1.7,"0.00020"
"57","GO:0007619","courtship behavior",56,11,2.97,"0.00023"
"58","GO:0045988","negative regulation of striated muscle c...",18,6,0.96,"0.00023"
"59","GO:0050965","detection of temperature stimulus involv...",18,6,0.96,"0.00023"
"60","GO:0048714","positive regulation of oligodendrocyte d...",18,6,0.96,"0.00023"
"61","GO:0097067","cellular response to thyroid hormone sti...",41,9,2.18,"0.00024"
"62","GO:0048150","behavioral response to ether",12,5,0.64,"0.00024"
"63","GO:1904261","positive regulation of basement membrane...",12,5,0.64,"0.00024"
"64","GO:1903351","cellular response to dopamine",58,10,3.08,"0.00032"
"65","GO:0035235","ionotropic glutamate receptor signaling ...",19,6,1.01,"0.00033"
"66","GO:0006937","regulation of muscle contraction",133,20,7.06,"0.00036"
"67","GO:0045823","positive regulation of heart contraction",28,6,1.49,"0.00037"
"68","GO:2000288","positive regulation of myoblast prolifer...",13,5,0.69,"0.00037"
"69","GO:1903818","positive regulation of voltage-gated pot...",13,5,0.69,"0.00037"
"70","GO:0007630","jump response",13,5,0.69,"0.00037"
"71","GO:0040017","positive regulation of locomotion",385,38,20.45,"0.00040"
"72","GO:0032879","regulation of localization",1647,102,87.47,"0.00041"
"73","GO:0042491","inner ear auditory receptor cell differe...",48,8,2.55,"0.00044"
"74","GO:0045188","regulation of circadian sleep/wake cycle...",20,6,1.06,"0.00045"
"75","GO:0008345","larval locomotory behavior",36,8,1.91,"0.00048"
"76","GO:0051966","regulation of synaptic transmission, glu...",58,11,3.08,"0.00049"
"77","GO:0008045","motor neuron axon guidance",96,14,5.1,"0.00051"
"78","GO:0071260","cellular response to mechanical stimulus",96,14,5.1,"0.00051"
"79","GO:0010644","cell communication by electrical couplin...",24,9,1.27,"0.00054"
