"","GO.ID","Term","Annotated","Significant","Expected","classic","KS"
"1","GO:0060025","regulation of synaptic activity",26,12,1.38,"2.2e-09","0.95391"
"2","GO:0035725","sodium ion transmembrane transport",104,23,5.52,"3.6e-09","0.99923"
"3","GO:0009584","detection of visible light",88,16,4.67,"4.9e-09","0.83244"
"4","GO:0007154","cell communication",3626,247,192.58,"6.3e-09","0.74697"
"5","GO:0007186","G protein-coupled receptor signaling pat...",450,55,23.9,"9.3e-09","0.61188"
"6","GO:0010496","intercellular transport",21,10,1.12,"3.4e-08","0.74954"
"7","GO:0003333","amino acid transmembrane transport",75,22,3.98,"1.1e-07","0.96882"
"8","GO:2001023","regulation of response to drug",120,18,6.37,"1.7e-07","0.99506"
"9","GO:0006935","chemotaxis",570,58,30.27,"1.8e-07","0.79819"
"10","GO:0009952","anterior/posterior pattern specification",306,34,16.25,"5.1e-07","0.53607"
"11","GO:0086012","membrane depolarization during cardiac m...",12,7,0.64,"7.2e-07","0.99060"
"12","GO:0042472","inner ear morphogenesis",84,14,4.46,"1.5e-06","1.00000"
"13","GO:0019229","regulation of vasoconstriction",66,14,3.51,"2.7e-06","0.52048"
"14","GO:0060081","membrane hyperpolarization",19,8,1.01,"2.7e-06","0.55040"
"15","GO:0048846","axon extension involved in axon guidance",57,15,3.03,"2.8e-06","0.99930"
"16","GO:0048609","multicellular organismal reproductive pr...",1421,91,75.47,"3.6e-06","0.50861"
"17","GO:0007440","foregut morphogenesis",41,12,2.18,"4.2e-06","0.69451"
"18","GO:0050966","detection of mechanical stimulus involve...",21,8,1.12,"6.6e-06","0.86985"
"19","GO:0007214","gamma-aminobutyric acid signaling pathwa...",21,8,1.12,"6.6e-06","0.91908"
"20","GO:0050909","sensory perception of taste",35,10,1.86,"9.0e-06","0.74513"
"21","GO:0051481","negative regulation of cytosolic calcium...",36,10,1.91,"1.2e-05","0.74783"
"22","GO:0086091","regulation of heart rate by cardiac cond...",23,8,1.22,"1.4e-05","0.77485"
"23","GO:0098712","L-glutamate import across plasma membran...",12,6,0.64,"1.5e-05","0.98381"
"24","GO:0031947","negative regulation of glucocorticoid bi...",12,6,0.64,"1.5e-05","0.66036"
"25","GO:0036098","male germ-line stem cell population main...",30,9,1.59,"1.6e-05","0.41038"
