"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0007200","phospholipase C-activating G protein-cou...",49,9,1,"5.2e-07"
"2","GO:0009584","detection of visible light",81,12,1.66,"5.4e-07"
"3","GO:1902476","chloride transmembrane transport",45,8,0.92,"3.0e-06"
"4","GO:0007186","G protein-coupled receptor signaling pat...",369,30,7.57,"4.5e-06"
"5","GO:0043058","regulation of backward locomotion",17,5,0.35,"1.7e-05"
"6","GO:0007626","locomotory behavior",309,21,6.34,"2.4e-05"
"7","GO:0007187","G protein-coupled receptor signaling pat...",97,10,1.99,"2.7e-05"
"8","GO:0007214","gamma-aminobutyric acid signaling pathwa...",20,5,0.41,"4.1e-05"
"9","GO:0010715","regulation of extracellular matrix disas...",11,4,0.23,"5.0e-05"
"10","GO:0035774","positive regulation of insulin secretion...",21,5,0.43,"5.3e-05"
"11","GO:0007602","phototransduction",59,8,1.21,"9.9e-05"
"12","GO:0006182","cGMP biosynthetic process",13,4,0.27,"0.00011"
"13","GO:0042749","regulation of circadian sleep/wake cycle",58,9,1.19,"0.00013"
"14","GO:0097376","interneuron axon guidance",14,4,0.29,"0.00015"
"15","GO:0007193","adenylate cyclase-inhibiting G protein-c...",41,6,0.84,"0.00017"
"16","GO:0050805","negative regulation of synaptic transmis...",68,8,1.39,"0.00024"
"17","GO:0043583","ear development",196,9,4.02,"0.00027"
"18","GO:0042359","vitamin D metabolic process",29,5,0.59,"0.00027"
"19","GO:0043052","thermotaxis",17,4,0.35,"0.00033"
"20","GO:0009636","response to toxic substance",443,19,9.08,"0.00037"
"21","GO:0090328","regulation of olfactory learning",18,4,0.37,"0.00042"
"22","GO:0007618","mating",138,10,2.83,"0.00052"
"23","GO:0030431","sleep",82,10,1.68,"0.00052"
"24","GO:0008045","motor neuron axon guidance",91,8,1.87,"0.00053"
"25","GO:0007605","sensory perception of sound",139,10,2.85,"0.00055"
"26","GO:0045924","regulation of female receptivity",20,4,0.41,"0.00064"
"27","GO:0002121","inter-male aggressive behavior",21,4,0.43,"0.00078"
"28","GO:0032275","luteinizing hormone secretion",10,3,0.21,"0.00091"
"29","GO:0007634","optokinetic behavior",10,3,0.21,"0.00091"
"30","GO:1903055","positive regulation of extracellular mat...",22,4,0.45,"0.00093"
"31","GO:0007204","positive regulation of cytosolic calcium...",126,6,2.58,"0.00114"
"32","GO:0019226","transmission of nerve impulse",76,8,1.56,"0.00123"
"33","GO:0007340","acrosome reaction",11,3,0.23,"0.00124"
"34","GO:0046673","negative regulation of compound eye reti...",11,3,0.23,"0.00124"
"35","GO:0060444","branching involved in mammary gland duct...",11,3,0.23,"0.00124"
