,Man_mean,Tent_mean,M,D,prob,ranking,Length
comp119_c0,1.20854479845944,1.05934089592679,0.190104028712897,0.149203902532651,0.152927689594356,0.241663704895556,350
comp355_c0,0.179842975961227,0.0919566749936452,0.967711607376449,0.0878863009675815,0.154459561602419,0.971694271336862,336
comp680_c0,0.0912798186147616,0.186691497268065,-1.03228839262355,0.0954116786533036,0.161814058956916,-1.03668833984412,331
comp1097_c0,0.100377474955103,0.205298623241626,-1.03228839262355,0.104921148286523,0.161814058956916,-1.03760675253348,301
comp1262_c0,NA,NA,NA,NA,NA,0,384
comp1539_c0,0.0860786893489632,0.528161415348116,-2.61725089334471,0.442082725999153,0.382398589065256,-2.65432465522598,351
comp2010_c0,4.10799218774592,0.135515099990635,4.92190791776332,3.97247708775528,0.942504409171076,6.32501002083649,456
comp2170_c0,0.40555194579176,0.103682693952566,1.96771160737645,0.301869251839193,0.291191735953641,1.99073202993521,298
comp2190_c0,0.789898561084604,0.605832211722839,0.382749106655293,0.184066349361765,0.197455278407659,0.424708487804037,306
comp2223_c0,0.0915564241257154,0.374514458155937,-2.03228839262355,0.282958034030221,0.278548752834467,-2.05189214136968,330
comp2280_c0,0.192443439245134,4.32957797167532,-4.49172001126085,4.13713453243019,0.946754850088183,-6.10667100792138,314
comp2471_c0,0.088602991089402,0.724866693205039,-3.03228839262355,0.636263702115637,0.481169060216679,-3.09832283577251,341
comp2797_c0,8.39267221152392,1.24838152718646,2.74907132090111,7.14429068433746,0.972003023431595,7.65495150276682,396
comp2839_c0,0.175660581171431,0.179636295336423,-0.0322883926235508,0.0039757141649924,0.016029226505417,-0.0325322394146836,344
comp3117_c0,0.280404825628641,0.143375604630463,0.967711607376449,0.137029220998178,0.184338624338624,0.977365214471273,431
comp3363_c0,0.187081238151617,0.191315435280897,-0.0322883926235508,0.00423419712927983,0.016029226505417,-0.032564838761188,323
comp3730_c0,0.372241724371492,0.634444410633774,-0.769253986789757,0.262202686262282,0.239173595364072,-0.812712707465001,487
comp3888_c0,0.087575710033293,0.358231220844809,-2.03228839262355,0.270655510811516,0.271872008062484,-2.05023182014256,345
comp3903_c0,0.0860786893489632,1.05632283069623,-3.61725089334471,0.970244141347269,0.605633660871756,-3.74511384596273,351
comp4003_c0,0.0735124573272168,0.451057559092917,-2.61725089334471,0.3775451017657,0.34490803728899,-2.64434160852582,411
comp4124_c0,NA,NA,NA,NA,NA,0,369
comp4584_c0,0.581031153105502,0.198060530755544,1.55267410809761,0.382970622349958,0.341541950113379,1.59920711089584,312
comp4768_c0,NA,NA,NA,NA,NA,0,298
comp4982_c0,0.353375672064165,0.0903433999937567,1.96771160737645,0.263032272070408,0.265129755605946,1.98521408063577,342
comp5227_c0,0.380045534106743,0.0647745132030708,2.55267410809761,0.315271020903672,0.305469891660368,2.57206938451776,477
comp5672_c0,0.626189014745826,0.800451885955046,-0.354216487510913,0.174262871209221,0.192607709750567,-0.394761786786222,386
comp5704_c0,0.568281253194096,1.54971499926595,-1.44732589190239,0.98143374607185,0.583885109599395,-1.74870364421753,319
comp5751_c0,0.894272049600011,1.43709036269139,-0.684365089203244,0.542818313091375,0.346903502141597,-0.873502888574234,473
comp5869_c0,0.0901899103327943,0.368924690123759,-2.03228839262355,0.278734779790964,0.278548752834467,-2.05131401502976,335
comp5883_c0,NA,NA,NA,NA,NA,0,325
comp5946_c0,0.137647471350734,0.281525674695807,-1.03228839262355,0.143878203345073,0.186553287981859,-1.04226688661931,439
comp5964_c0,0.0722813874676701,1.77401585442286,-4.61725089334471,1.70173446695519,0.779324766943815,-4.92086435579317,418
comp5964_c1,0.133688583900381,0.410143045989356,-1.61725089334471,0.276454462088975,0.277472915091963,-1.64070945680006,452
comp6087_c0,NA,NA,NA,NA,NA,0,304
comp6750_c0,0.0932519134613768,0.572174866627126,-2.61725089334471,0.478922953165749,0.404547745023935,-2.66070844584345,324
comp7072_c0,0.827770409903729,0.507903169279969,0.704677201542655,0.319867240623759,0.261700680272109,0.773876611610821,365
comp7187_c0,0.163759457785832,0.0837329073112867,0.967711607376449,0.0800265504745458,0.14814310909549,0.971014934917051,369
comp7248_c0,NA,NA,NA,NA,NA,0,414
comp7313_c0,0.0956127213971079,0.391106870859048,-2.03228839262355,0.29549414946194,0.291541950113379,-2.05365841929924,316
