# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SRR8101518/Aligned.out.sam" "results/star/mapping/SRR8101523/Aligned.out.sam" "results/star/mapping/SRR8101526/Aligned.out.sam" "results/star/mapping/SRR8101525/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SRR8101518/Aligned.out.sam	results/star/mapping/SRR8101523/Aligned.out.sam	results/star/mapping/SRR8101526/Aligned.out.sam	results/star/mapping/SRR8101525/Aligned.out.sam
comp119_c0	comp119_c0_seq1	1	350	-	350	7	2	6	2
comp355_c0	comp355_c0_seq1	1	336	-	336	1	2	0	0
comp680_c0	comp680_c0_seq1	1	331	-	331	0	0	1	0
comp1097_c0	comp1097_c0_seq1	1	301	-	301	0	0	1	1
comp1262_c0	comp1262_c0_seq1	1	384	-	384	0	0	0	0
comp1539_c0	comp1539_c0_seq1	1	351	-	351	0	1	3	3
comp2010_c0	comp2010_c0_seq1	1	456	-	456	31	16	1	20
comp2170_c0	comp2170_c0_seq1	1	298	-	298	2	0	0	1
comp2190_c0	comp2190_c0_seq1	1	306	-	306	4	2	3	2
comp2223_c0	comp2223_c0_seq1	1	330	-	330	0	0	2	1
comp2280_c0	comp2280_c0_seq1	1	314	-	314	1	77	22	0
comp2471_c0	comp2471_c0_seq1	1	341	-	341	0	1	4	0
comp2797_c0	comp2797_c0_seq1	1	396	-	396	55	16	8	2
comp2839_c0	comp2839_c0_seq1	1	344	-	344	1	1	1	1
comp3117_c0	comp3117_c0_seq1	1	431	-	431	2	1	1	0
comp3363_c0	comp3363_c0_seq1	1	323	-	323	1	0	1	0
comp3730_c0	comp3730_c0_seq1	1	487	-	487	3	0	5	0
comp3888_c0	comp3888_c0_seq1	1	345	-	345	0	1	2	0
comp3903_c0	comp3903_c0_seq1	1	351	-	351	0	3	6	1
comp4003_c0	comp4003_c0_seq1	1	411	-	411	0	1	3	0
comp4124_c0	comp4124_c0_seq1	1	369	-	369	0	0	0	5
comp4584_c0	comp4584_c0_seq1	1	312	-	312	3	0	1	0
comp4768_c0	comp4768_c0_seq1	1	298	-	298	0	0	0	2
comp4982_c0	comp4982_c0_seq1	1	342	-	342	2	0	0	0
comp5227_c0	comp5227_c0_seq1	1	477	-	477	3	7	0	6
comp5672_c0	comp5672_c0_seq1	1	386	-	386	4	4	5	2
comp5704_c0	comp5704_c0_seq1	1	319	-	319	3	2	8	1
comp5751_c0	comp5751_c0_seq1	1	473	-	473	7	5	11	48
comp5869_c0	comp5869_c0_seq1	1	335	-	335	0	36	2	1
comp5883_c0	comp5883_c0_seq1	1	325	-	325	0	0	0	2
comp5946_c0	comp5946_c0_seq1	1	439	-	439	1	0	2	4
comp5964_c0	comp5964_c0_seq1	1	418	-	418	0	0	12	0
comp5964_c1	comp5964_c1_seq1	1	452	-	452	1	1	3	1
comp6087_c0	comp6087_c0_seq1	1	304	-	304	0	0	0	2
comp6750_c0	comp6750_c0_seq1	1	324	-	324	0	8	3	3
comp7072_c0	comp7072_c0_seq2	1	365	-	365	5	0	3	5
comp7187_c0	comp7187_c0_seq1	1	369	-	369	1	0	0	0
comp7248_c0	comp7248_c0_seq2	1	414	-	414	0	0	0	0
comp7313_c0	comp7313_c0_seq1	1	316	-	316	0	0	2	2
comp7361_c0	comp7361_c0_seq1	1	303	-	303	0	1	13	2
comp7859_c0	comp7859_c0_seq1	1	365	-	365	3	3	6	3
comp7995_c0	comp7995_c0_seq1	1	302	-	302	0	0	2	1
comp8137_c0	comp8137_c0_seq1	1	301	-	301	4	0	1	0
comp8146_c0	comp8146_c0_seq1	1	319	-	319	6	15	2	2
comp8805_c0	comp8805_c0_seq1	1	314	-	314	4	3	35	13
comp8888_c0	comp8888_c0_seq1	1	310	-	310	0	0	0	0
comp9672_c0	comp9672_c0_seq1	1	459	-	459	7	1	1	5
comp10085_c0	comp10085_c0_seq1	1	363	-	363	2	0	2	0
comp10231_c0	comp10231_c0_seq1	1	313	-	313	0	0	1	4
comp10276_c0	comp10276_c0_seq1	1	345	-	345	0	0	1	0
comp10479_c0	comp10479_c0_seq1	1	313	-	313	10	6	3	0
comp10949_c0	comp10949_c0_seq1	1	713	-	713	7	13	558	41
comp10976_c0	comp10976_c0_seq1	1	424	-	424	1	7	0	0
comp11024_c0	comp11024_c0_seq1	1	1220	-	1220	4	8	7	9
comp11027_c0	comp11027_c0_seq2	1	1702	-	1702	126	91	156	147
comp11028_c0	comp11028_c0_seq2	1	4271	-	4271	349	514	307	424
comp11038_c0	comp11038_c0_seq1	1	330	-	330	3	1	1	2
comp11049_c0	comp11049_c0_seq1	1	2390	-	2390	182	248	195	232
comp11063_c0	comp11063_c0_seq1	1	523	-	523	12	7	10	7
comp11064_c0	comp11064_c0_seq1	1	399	-	399	0	0	0	0
comp11066_c0	comp11066_c0_seq1	1	302	-	302	10	5	1	3
comp11071_c0	comp11071_c0_seq1	1	673	-	673	4	5	9	16
comp11079_c0	comp11079_c0_seq1	1	360	-	360	0	0	5	4
comp11085_c0	comp11085_c0_seq1	1	1133	-	1133	74	556	236	66
comp11086_c0	comp11086_c0_seq1	1	625	-	625	41	41	38	32
comp11098_c0	comp11098_c0_seq1	1	407	-	407	0	0	3	1
comp11127_c0	comp11127_c0_seq1	1	2351	-	2351	261	243	267	283
comp11129_c0	comp11129_c0_seq1	1	306	-	306	0	0	0	0
comp11132_c0	comp11132_c0_seq1	1	702	-	702	10	8	12	4
comp11135_c0	comp11135_c0_seq1	1	758	-	758	0	2	81	0
comp11136_c0	comp11136_c0_seq2	1	1337	-	1337	162	69	90	95
comp11157_c0	comp11157_c0_seq1	1	1572	-	1572	129	165	175	155
comp11182_c0	comp11182_c0_seq1	1	389	-	389	0	6	3	6
comp11186_c0	comp11186_c0_seq1	1	321	-	321	4	1	1	4
comp11214_c0	comp11214_c0_seq1	1	990	-	990	19	19	11	12
comp11215_c0	comp11215_c0_seq1	1	320	-	320	11	32	1	0
comp11222_c0	comp11222_c0_seq1	1	1398	-	1398	120	69	37	68
comp11226_c0	comp11226_c0_seq1	1	573	-	573	1	2	7	3
