# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/Trinity_20210112_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/Trinity_20210112_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SA01/Aligned.out.sam" "results/star/mapping/SA02/Aligned.out.sam" "results/star/mapping/SA03/Aligned.out.sam" "results/star/mapping/SA04/Aligned.out.sam" "results/star/mapping/SA05/Aligned.out.sam" "results/star/mapping/SA06/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SA01/Aligned.out.sam	results/star/mapping/SA02/Aligned.out.sam	results/star/mapping/SA03/Aligned.out.sam	results/star/mapping/SA04/Aligned.out.sam	results/star/mapping/SA05/Aligned.out.sam	results/star/mapping/SA06/Aligned.out.sam
TRINITY_DN8_c0_g1	TRINITY_DN8_c0_g1_i1	1	2265	-	2265	5852	373	1575	4826	50	470
TRINITY_DN8_c0_g2	TRINITY_DN8_c0_g2_i1	1	1708	-	1708	800	1877	3789	1461	3190	4975
TRINITY_DN1_c0_g1	TRINITY_DN1_c0_g1_i5	1	7240	-	7240	18373	13501	27542	9570	2888	7329
TRINITY_DN78_c0_g1	TRINITY_DN78_c0_g1_i12	1	4261	-	4261	2460	2117	2285	1516	695	1183
TRINITY_DN78_c0_g2	TRINITY_DN78_c0_g2_i3	1	19537	-	19537	6380	6812	7629	4042	4866	5332
TRINITY_DN18_c0_g1	TRINITY_DN18_c0_g1_i5	1	2716	-	2716	2518	188	50	2666	106	41
TRINITY_DN18_c0_g3	TRINITY_DN18_c0_g3_i1	1	1789	-	1789	559	706	1010	579	989	2025
TRINITY_DN53_c0_g1	TRINITY_DN53_c0_g1_i4	1	6342	-	6342	83	14013	3692	194	5994	2258
TRINITY_DN28_c0_g1	TRINITY_DN28_c0_g1_i4	1	2783	-	2783	4537	1067	10448	3528	173	3076
TRINITY_DN91_c0_g1	TRINITY_DN91_c0_g1_i2	1	3339	-	3339	1077	1432	1884	406	451	853
TRINITY_DN91_c0_g2	TRINITY_DN91_c0_g2_i1	1	3048	-	3048	1002	1296	582	568	193	132
TRINITY_DN31_c0_g1	TRINITY_DN31_c0_g1_i2	1	6512	-	6512	1455	1784	1540	1752	1121	1137
TRINITY_DN31_c2_g2	TRINITY_DN31_c2_g2_i6	1	3872	-	3872	576	871	1335	2112	1207	2133
TRINITY_DN85_c0_g1	TRINITY_DN85_c0_g1_i7	1	2299	-	2299	1353	1043	1711	743	786	926
TRINITY_DN85_c1_g1	TRINITY_DN85_c1_g1_i2	1	404	-	404	128	61	76	18	6	6
TRINITY_DN85_c1_g2	TRINITY_DN85_c1_g2_i1	1	2117	-	2117	575	305	423	283	90	122
TRINITY_DN10_c0_g1	TRINITY_DN10_c0_g1_i2	1	2510	-	2510	5	6	13681	0	0	243
TRINITY_DN3_c5_g1	TRINITY_DN3_c5_g1_i2	1	1164	-	1164	20981	15025	25618	16055	11369	17318
TRINITY_DN20_c0_g1	TRINITY_DN20_c0_g1_i3	1	593	-	593	137220	13418	2686	38516	2664	1857
TRINITY_DN20_c13_g1	TRINITY_DN20_c13_g1_i1	1	302	-	302	62853	4921	824	10073	281	695
TRINITY_DN72_c0_g1	TRINITY_DN72_c0_g1_i11	1	7903	-	7903	6341	4278	4601	2258	2625	2855
TRINITY_DN72_c0_g2	TRINITY_DN72_c0_g2_i1	1	3023	-	3023	984	776	1292	598	585	928
TRINITY_DN72_c1_g1	TRINITY_DN72_c1_g1_i2	1	2071	-	2071	3541	4736	7366	4440	4232	5242
TRINITY_DN77_c0_g1	TRINITY_DN77_c0_g1_i1	1	2665	-	2665	461	143	279	427	86	207
TRINITY_DN38_c0_g1	TRINITY_DN38_c0_g1_i1	1	1048	-	1048	15	1	7628	3	1	6372
TRINITY_DN30_c0_g1	TRINITY_DN30_c0_g1_i2	1	2528	-	2528	8	3913	549	314	5615	1287
TRINITY_DN56_c0_g1	TRINITY_DN56_c0_g1_i5	1	3610	-	3610	1028	739	1029	964	312	532
TRINITY_DN56_c0_g2	TRINITY_DN56_c0_g2_i3	1	885	-	885	23	15	21	21	9	9
TRINITY_DN56_c2_g1	TRINITY_DN56_c2_g1_i1	1	322	-	322	0	4	5	8	2	5
TRINITY_DN50_c0_g1	TRINITY_DN50_c0_g1_i4	1	1848	-	1848	2075	854	348	812	424	91
TRINITY_DN50_c0_g2	TRINITY_DN50_c0_g2_i1	1	703	-	703	213	268	102	87	124	19
TRINITY_DN50_c0_g3	TRINITY_DN50_c0_g3_i1	1	432	-	432	271	60	72	7	20	6
TRINITY_DN50_c0_g4	TRINITY_DN50_c0_g4_i1	1	1662	-	1662	2090	1958	517	2176	2098	235
TRINITY_DN59_c0_g1	TRINITY_DN59_c0_g1_i7	1	1956	-	1956	34	39027	1922	1979	37814	1989
TRINITY_DN15_c0_g1	TRINITY_DN15_c0_g1_i1	1	2953	-	2953	2612	969	728	1786	337	444
TRINITY_DN15_c0_g2	TRINITY_DN15_c0_g2_i2	1	2081	-	2081	2765	2537	4696	3019	2827	2295
TRINITY_DN58_c0_g1	TRINITY_DN58_c0_g1_i2	1	3887	-	3887	9011	3267	3379	1245	675	2507
TRINITY_DN69_c0_g1	TRINITY_DN69_c0_g1_i1	1	4477	-	4477	848	2342	2449	175	438	418
TRINITY_DN52_c0_g1	TRINITY_DN52_c0_g1_i2	1	2859	-	2859	4343	3253	5758	4610	4211	5191
TRINITY_DN52_c1_g1	TRINITY_DN52_c1_g1_i3	1	1245	-	1245	933	945	1663	1253	1599	2050
TRINITY_DN82_c0_g2	TRINITY_DN82_c0_g2_i2	1	1100	-	1100	609	62	10	592	88	10
TRINITY_DN82_c1_g1	TRINITY_DN82_c1_g1_i12	1	2554	-	2554	1968	2857	3681	1126	1388	1787
TRINITY_DN82_c2_g1	TRINITY_DN82_c2_g1_i8	1	5145	-	5145	9723	2986	5579	4574	1282	1784
TRINITY_DN82_c2_g2	TRINITY_DN82_c2_g2_i1	1	8451	-	8451	373	142	57	311	93	74
TRINITY_DN82_c2_g3	TRINITY_DN82_c2_g3_i1	1	8428	-	8428	227	102	117	81	34	23
TRINITY_DN82_c3_g2	TRINITY_DN82_c3_g2_i1	1	2837	-	2837	985	1435	1967	917	1309	1806
TRINITY_DN82_c14_g1	TRINITY_DN82_c14_g1_i3	1	1880	-	1880	952	1113	2107	1741	1960	2230
TRINITY_DN42_c0_g1	TRINITY_DN42_c0_g1_i4	1	2719	-	2719	1334	726	988	3108	1389	1184
TRINITY_DN42_c1_g1	TRINITY_DN42_c1_g1_i1	1	1606	-	1606	1017	1017	1649	1673	2647	2126
TRINITY_DN42_c3_g1	TRINITY_DN42_c3_g1_i13	1	526	-	526	266	264	219	240	124	159
TRINITY_DN42_c5_g2	TRINITY_DN42_c5_g2_i1	1	461	-	461	5	4	7	34	2	4
TRINITY_DN42_c13_g1	TRINITY_DN42_c13_g1_i3	1	1741	-	1741	65824	24650	18816	8659	6077	19705
TRINITY_DN25_c0_g2	TRINITY_DN25_c0_g2_i1	1	2570	-	2570	1098	194	15	1142	119	14
TRINITY_DN25_c0_g3	TRINITY_DN25_c0_g3_i1	1	3367	-	3367	7810	3297	2409	7666	918	677
TRINITY_DN25_c0_g4	TRINITY_DN25_c0_g4_i1	1	2712	-	2712	3337	1441	472	7363	2377	376
TRINITY_DN39_c0_g1	TRINITY_DN39_c0_g1_i2	1	8252	-	8252	4768	3035	2620	3036	823	1755
TRINITY_DN21_c0_g1	TRINITY_DN21_c0_g1_i1	1	1560	-	1560	2098	657	832	2204	767	667
TRINITY_DN67_c0_g1	TRINITY_DN67_c0_g1_i1	1	1187	-	1187	517	790	1865	624	890	2196
TRINITY_DN67_c1_g1	TRINITY_DN67_c1_g1_i5	1	1266	-	1266	720	626	889	697	644	806
TRINITY_DN24_c0_g1	TRINITY_DN24_c0_g1_i6	1	12016	-	12016	619	1328	4658	1251	1248	4189
TRINITY_DN24_c1_g1	TRINITY_DN24_c1_g1_i1	1	1492	-	1492	933	150	6	1766	83	1
TRINITY_DN32_c0_g1	TRINITY_DN32_c0_g1_i7	1	2000	-	2000	159	224	1615	108	105	1105
