OG,Gene,Species
N2.HOG0000001,scaffold7333.g1,Aurelia
N2.HOG0000002,scaffold2413.g3,Aurelia
N2.HOG0000006,scaffold2273.g3,Aurelia
N2.HOG0000007,scaffold3787.g1,Aurelia
N2.HOG0000010,scaffold1890.g5,Aurelia
N2.HOG0000011,scaffold475.g4,Aurelia
N2.HOG0000017,scaffold1450.g5,Aurelia
N2.HOG0000018,scaffold973.g3,Aurelia
N2.HOG0000019,scaffold411.g6,Aurelia
N2.HOG0000020,scaffold334.g16,Aurelia
N2.HOG0000021,scaffold4211.g2,Aurelia
N2.HOG0000023,scaffold895.g4,Aurelia
N2.HOG0000025,scaffold1545.g3,Aurelia
N2.HOG0000026,scaffold1775.g1,Aurelia
N2.HOG0000027,scaffold627.g8,Aurelia
N2.HOG0000031,scaffold2081.g3,Aurelia
N2.HOG0000032,scaffold1600.g6,Aurelia
N2.HOG0000036,scaffold3095.g1,Aurelia
N2.HOG0000040,scaffold2865.g3,Aurelia
N2.HOG0000043,scaffold2622.g3,Aurelia
N2.HOG0000044,scaffold1542.g1,Aurelia
N2.HOG0000057,scaffold930.g9,Aurelia
N2.HOG0000058,scaffold350.g1,Aurelia
N2.HOG0000059,scaffold1933.g3,Aurelia
N2.HOG0000061,scaffold1514.g2,Aurelia
N2.HOG0000064,scaffold4105.g1,Aurelia
N2.HOG0000065,scaffold2163.g1,Aurelia
N2.HOG0000066,scaffold394.g2,Aurelia
N2.HOG0000070,scaffold2737.g2,Aurelia
N2.HOG0000071,scaffold1737.g2,Aurelia
N2.HOG0000072,scaffold63.g34,Aurelia
N2.HOG0000075,scaffold2511.g2,Aurelia
N2.HOG0000078,scaffold1544.g4,Aurelia
N2.HOG0000079,scaffold4809.g2,Aurelia
N2.HOG0000080,scaffold29.g3,Aurelia
N2.HOG0000081,scaffold1127.g1,Aurelia
N2.HOG0000082,scaffold1881.g4,Aurelia
N2.HOG0000083,scaffold2843.g2,Aurelia
N2.HOG0000087,scaffold1326.g5,Aurelia
N2.HOG0000088,scaffold1537.g1,Aurelia
N2.HOG0000089,scaffold64.g23,Aurelia
N2.HOG0000090,scaffold1983.g3,Aurelia
N2.HOG0000091,scaffold1514.g3,Aurelia
N2.HOG0000092,scaffold1327.g6,Aurelia
N2.HOG0000093,scaffold11.g56,Aurelia
N2.HOG0000096,scaffold447.g3,Aurelia
N2.HOG0000099,scaffold123.g15,Aurelia
N2.HOG0000104,scaffold3595.g1,Aurelia
N2.HOG0000107,scaffold1076.g3,Aurelia
N2.HOG0000108,scaffold795.g7,Aurelia
N2.HOG0000109,scaffold1019.g4,Aurelia
N2.HOG0000111,scaffold1020.g9,Aurelia
N2.HOG0000112,scaffold17.g30,Aurelia
N2.HOG0000113,scaffold4298.g1,Aurelia
N2.HOG0000114,scaffold431.g1,Aurelia
N2.HOG0000116,scaffold4939.g3,Aurelia
N2.HOG0000117,scaffold2332.g3,Aurelia
N2.HOG0000120,scaffold760.g6,Aurelia
N2.HOG0000127,scaffold239.g6,Aurelia
N2.HOG0000130,scaffold2681.g2,Aurelia
N2.HOG0000132,scaffold4259.g1,Aurelia
N2.HOG0000133,scaffold2205.g6,Aurelia
N2.HOG0000137,scaffold1760.g2,Aurelia
N2.HOG0000138,scaffold1743.g2,Aurelia
N2.HOG0000139,scaffold67.g1,Aurelia
N2.HOG0000140,scaffold481.g9,Aurelia
N2.HOG0000141,scaffold5161.g1,Aurelia
N2.HOG0000142,scaffold1858.g1,Aurelia
N2.HOG0000143,scaffold1937.g2,Aurelia
N2.HOG0000144,scaffold2197.g6,Aurelia
N2.HOG0000145,scaffold2328.g1,Aurelia
N2.HOG0000146,scaffold1840.g3,Aurelia
N2.HOG0000147,scaffold3694.g1,Aurelia
N2.HOG0000148,scaffold2015.g1,Aurelia
N2.HOG0000149,scaffold1045.g5,Aurelia
N2.HOG0000150,scaffold584.g4,Aurelia
N2.HOG0000151,scaffold2228.g4,Aurelia
N2.HOG0000152,scaffold194.g10,Aurelia
N2.HOG0000157,scaffold2057.g3,Aurelia
N2.HOG0000168,scaffold1423.g2,Aurelia
N2.HOG0000173,scaffold342.g4,Aurelia
N2.HOG0000174,scaffold1523.g4,Aurelia
N2.HOG0000175,scaffold577.g8,Aurelia
N2.HOG0000176,scaffold297.g20,Aurelia
N2.HOG0000181,scaffold1139.g1,Aurelia
N2.HOG0000182,scaffold2851.g2,Aurelia
N2.HOG0000184,scaffold2828.g1,Aurelia
N2.HOG0000185,scaffold547.g12,Aurelia
N2.HOG0000186,scaffold1319.g3,Aurelia
N2.HOG0000187,scaffold3260.g1,Aurelia
N2.HOG0000188,scaffold2327.g6,Aurelia
N2.HOG0000190,scaffold2398.g2,Aurelia
N2.HOG0000192,scaffold605.g2,Aurelia
N2.HOG0000193,scaffold3016.g1,Aurelia
N2.HOG0000194,scaffold1319.g6,Aurelia
N2.HOG0000195,scaffold2173.g3,Aurelia
N2.HOG0000196,scaffold3295.g3,Aurelia
N2.HOG0000197,scaffold4202.g1,Aurelia
N2.HOG0000198,scaffold1325.g1,Aurelia
N2.HOG0000199,scaffold849.g4,Aurelia
N2.HOG0000200,scaffold3046.g1,Aurelia
N2.HOG0000202,scaffold2056.g3,Aurelia
N2.HOG0000203,scaffold268.g12,Aurelia
N2.HOG0000206,scaffold944.g4,Aurelia
N2.HOG0000211,scaffold2414.g1,Aurelia
N2.HOG0000212,scaffold1355.g2,Aurelia
N2.HOG0000213,scaffold2585.g3,Aurelia
N2.HOG0000215,scaffold2227.g2,Aurelia
N2.HOG0000217,scaffold2313.g3,Aurelia
N2.HOG0000218,scaffold669.g1,Aurelia
N2.HOG0000219,scaffold1719.g2,Aurelia
N2.HOG0000222,scaffold1726.g1,Aurelia
N2.HOG0000224,scaffold529.g2,Aurelia
N2.HOG0000226,scaffold260.g3,Aurelia
N2.HOG0000228,scaffold1413.g2,Aurelia
N2.HOG0000234,scaffold1851.g1,Aurelia
N2.HOG0000235,scaffold1046.g11,Aurelia
N2.HOG0000237,scaffold919.g4,Aurelia
N2.HOG0000238,scaffold1387.g2,Aurelia
N2.HOG0000239,scaffold2230.g4,Aurelia
N2.HOG0000240,scaffold2397.g1,Aurelia
N2.HOG0000241,scaffold1534.g3,Aurelia
N2.HOG0000249,scaffold2139.g1,Aurelia
N2.HOG0000250,scaffold858.g3,Aurelia
N2.HOG0000251,scaffold555.g11,Aurelia
N2.HOG0000252,scaffold434.g12,Aurelia
N2.HOG0000253,scaffold320.g9,Aurelia
N2.HOG0000254,scaffold26.g30,Aurelia
N2.HOG0000255,scaffold488.g6,Aurelia
N2.HOG0000257,scaffold2291.g4,Aurelia
N2.HOG0000258,scaffold1293.g1,Aurelia
N2.HOG0000259,scaffold1336.g1,Aurelia
N2.HOG0000260,scaffold3937.g1,Aurelia
N2.HOG0000261,scaffold2122.g5,Aurelia
N2.HOG0000262,scaffold1318.g4,Aurelia
N2.HOG0000263,scaffold9.g59,Aurelia
N2.HOG0000265,scaffold1172.g4,Aurelia
N2.HOG0000266,scaffold5406.g1,Aurelia
N2.HOG0000267,scaffold3680.g1,Aurelia
N2.HOG0000268,scaffold3656.g1,Aurelia
N2.HOG0000272,scaffold2443.g3,Aurelia
N2.HOG0000273,scaffold570.g11,Aurelia
N2.HOG0000275,scaffold460.g19,Aurelia
N2.HOG0000277,scaffold491.g8,Aurelia
N2.HOG0000278,scaffold38.g43,Aurelia
N2.HOG0000279,scaffold108.g22,Aurelia
N2.HOG0000280,scaffold108.g24,Aurelia
N2.HOG0000283,scaffold108.g21,Aurelia
N2.HOG0000284,scaffold1064.g4,Aurelia
N2.HOG0000285,scaffold1064.g2,Aurelia
N2.HOG0000286,scaffold83.g43,Aurelia
N2.HOG0000287,scaffold83.g41,Aurelia
N2.HOG0000288,scaffold57.g14,Aurelia
N2.HOG0000289,scaffold320.g15,Aurelia
N2.HOG0000296,scaffold561.g3,Aurelia
N2.HOG0000297,scaffold513.g2,Aurelia
N2.HOG0000299,scaffold23.g30,Aurelia
N2.HOG0000300,scaffold612.g9,Aurelia
N2.HOG0000302,scaffold495.g4,Aurelia
N2.HOG0000305,scaffold353.g5,Aurelia
N2.HOG0000308,scaffold6331.g1,Aurelia
N2.HOG0000310,scaffold2601.g1,Aurelia
N2.HOG0000311,scaffold1405.g1,Aurelia
N2.HOG0000312,scaffold1493.g8,Aurelia
N2.HOG0000313,scaffold6313.g1,Aurelia
N2.HOG0000314,scaffold1299.g9,Aurelia
N2.HOG0000316,scaffold293.g7,Aurelia
N2.HOG0000317,scaffold1736.g6,Aurelia
N2.HOG0000319,scaffold7075.g1,Aurelia
N2.HOG0000320,scaffold2329.g3,Aurelia
N2.HOG0000321,scaffold3121.g2,Aurelia
N2.HOG0000322,scaffold1687.g3,Aurelia
N2.HOG0000323,scaffold608.g1,Aurelia
N2.HOG0000324,scaffold199.g2,Aurelia
N2.HOG0000330,scaffold4446.g1,Aurelia
N2.HOG0000332,scaffold733.g4,Aurelia
N2.HOG0000333,scaffold685.g6,Aurelia
N2.HOG0000334,scaffold2193.g2,Aurelia
N2.HOG0000335,scaffold6889.g1,Aurelia
N2.HOG0000336,scaffold213.g17,Aurelia
N2.HOG0000337,scaffold2131.g4,Aurelia
N2.HOG0000338,scaffold1523.g1,Aurelia
N2.HOG0000339,scaffold1645.g5,Aurelia
N2.HOG0000340,scaffold411.g1,Aurelia
N2.HOG0000344,scaffold4402.g2,Aurelia
N2.HOG0000365,scaffold756.g4,Aurelia
N2.HOG0000366,scaffold3028.g1,Aurelia
N2.HOG0000367,scaffold559.g19,Aurelia
N2.HOG0000368,scaffold40.g6,Aurelia
N2.HOG0000369,scaffold243.g2,Aurelia
N2.HOG0000370,scaffold701.g5,Aurelia
N2.HOG0000371,scaffold1340.g7,Aurelia
N2.HOG0000374,scaffold701.g6,Aurelia
N2.HOG0000375,scaffold455.g12,Aurelia
N2.HOG0000376,scaffold470.g5,Aurelia
N2.HOG0000377,scaffold1326.g1,Aurelia
N2.HOG0000379,scaffold661.g3,Aurelia
N2.HOG0000383,scaffold296.g6,Aurelia
N2.HOG0000384,scaffold1362.g4,Aurelia
N2.HOG0000385,scaffold3255.g1,Aurelia
N2.HOG0000388,scaffold3256.g1,Aurelia
N2.HOG0000389,scaffold774.g5,Aurelia
N2.HOG0000394,scaffold492.g10,Aurelia
N2.HOG0000395,scaffold7161.g1,Aurelia
